192.168.1.124, 2017-04-27 21:12:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048000
192.168.1.124, 2017-04-27 21:12:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.261000
192.168.1.124, 2017-04-27 21:13:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057000
192.168.1.124, 2017-04-27 21:13:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.302000
192.168.1.124, 2017-04-27 21:14:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
192.168.1.124, 2017-04-27 21:14:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.290000
192.168.1.124, 2017-04-27 21:15:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.124000
192.168.1.124, 2017-04-27 21:15:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.537000
192.168.1.105, 2017-04-27 21:16:25, GET, /msapp, HTTP/1.1, 200, 0.822000
192.168.1.105, 2017-04-27 21:16:26, GET, /msapp/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
192.168.1.105, 2017-04-27 21:16:26, GET, /msapp/static/images/background.jpg, HTTP/1.1, 200, 0.000000
192.168.1.124, 2017-04-27 21:16:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083000
192.168.1.124, 2017-04-27 21:16:58, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 1.949000
192.168.1.124, 2017-04-27 21:17:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125000
192.168.1.124, 2017-04-27 21:17:58, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 2.536000
192.168.1.124, 2017-04-27 21:18:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103000
192.168.1.124, 2017-04-27 21:18:58, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 1.969000
192.168.1.124, 2017-04-27 21:19:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.140000
192.168.1.124, 2017-04-27 21:19:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.537000
192.168.1.124, 2017-04-27 21:20:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085000
192.168.1.124, 2017-04-27 21:20:58, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 2.009000
192.168.1.124, 2017-04-27 21:21:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
192.168.1.124, 2017-04-27 21:21:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.298000
192.168.1.124, 2017-04-27 21:22:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157000
192.168.1.124, 2017-04-27 21:22:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.472000
192.168.1.124, 2017-04-27 21:23:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.130000
192.168.1.124, 2017-04-27 21:23:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.353000
192.168.1.124, 2017-04-27 21:24:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.139000
192.168.1.124, 2017-04-27 21:24:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.515000
192.168.1.124, 2017-04-27 21:25:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.117000
192.168.1.124, 2017-04-27 21:25:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.382000
192.168.1.124, 2017-04-27 21:26:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079000
192.168.1.124, 2017-04-27 21:26:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.282000
192.168.1.124, 2017-04-27 21:27:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.120000
192.168.1.124, 2017-04-27 21:27:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.383000
192.168.1.124, 2017-04-27 21:28:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.118000
192.168.1.124, 2017-04-27 21:28:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.347000
192.168.1.124, 2017-04-27 21:29:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.133000
192.168.1.124, 2017-04-27 21:29:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.512000
192.168.1.124, 2017-04-27 21:30:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106000
192.168.1.124, 2017-04-27 21:30:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.316000
192.168.1.124, 2017-04-27 21:31:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093000
192.168.1.124, 2017-04-27 21:31:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.358000
192.168.1.124, 2017-04-27 21:32:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.113000
192.168.1.124, 2017-04-27 21:32:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.359000
192.168.1.124, 2017-04-27 21:33:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050000
192.168.1.124, 2017-04-27 21:33:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.302000
192.168.1.124, 2017-04-27 21:34:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.152000
192.168.1.124, 2017-04-27 21:34:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.481000
192.168.1.124, 2017-04-27 21:35:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.175000
192.168.1.124, 2017-04-27 21:35:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.424000
192.168.1.124, 2017-04-27 21:36:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085000
192.168.1.124, 2017-04-27 21:36:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.299000
192.168.1.124, 2017-04-27 21:37:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.087000
192.168.1.124, 2017-04-27 21:37:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.294000
192.168.1.124, 2017-04-27 21:38:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.185000
192.168.1.124, 2017-04-27 21:38:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.398000
192.168.1.124, 2017-04-27 21:39:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109000
192.168.1.124, 2017-04-27 21:39:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.342000
192.168.1.124, 2017-04-27 21:40:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.142000
192.168.1.124, 2017-04-27 21:40:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.388000
192.168.1.124, 2017-04-27 21:41:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085000
192.168.1.124, 2017-04-27 21:41:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.299000
192.168.1.124, 2017-04-27 21:42:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.113000
192.168.1.124, 2017-04-27 21:42:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.389000
192.168.1.124, 2017-04-27 21:43:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.207000
192.168.1.124, 2017-04-27 21:43:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.411000
192.168.1.124, 2017-04-27 21:44:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.117000
192.168.1.124, 2017-04-27 21:44:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.349000
192.168.1.124, 2017-04-27 21:45:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.141000
192.168.1.124, 2017-04-27 21:45:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.381000
192.168.1.124, 2017-04-27 21:46:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.197000
192.168.1.124, 2017-04-27 21:46:56, GET, /msapp/appadmin/hooks, HTTP/1.1, 200, 0.368000
192.168.1.124, 2017-04-27 21:47:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.107000
